R	53.3334	-6.40628	P218	03 Oct 2022	P218\n18:28 - Portlaoise to Dublin Heuston (12 mins late)\nArrived Clondalkin next stop Park West and Cherry Orchard	To Dublin Heuston
R	53.3353	-6.45233	P419	03 Oct 2022	P419\n19:32 - Hazelhatch to Grand Canal Dock (3 mins late)\nArrived Adamstown next stop Clondalkin	Northbound
R	53.3395	-7.61596	A716	03 Oct 2022	A716\n18:30 - Dublin Heuston to Galway (0 mins late)\nArrived Clara next stop Athlone	To Galway
R	53.3397	-6.23773	E940	03 Oct 2022	E940\n18:55 - Bray to Howth (5 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3433	-6.24829	P418	03 Oct 2022	P418\n18:54 - Hazelhatch to Grand Canal Dock (3 mins late)\nDeparted Dublin Pearse next stop Grand Canal Dock	Northbound
R	53.347	-6.25425	E254	03 Oct 2022	E254\n19:10 - Malahide to Bray (1 mins late)\nArrived Tara Street next stop Dublin Pearse	Southbound
R	53.3629	-6.22753	D823	03 Oct 2022	D823\n19:23 - Dublin Pearse to Drogheda (5 mins late)\nDeparted Clontarf Road next stop Malahide	Northbound
R	53.3725	-6.29869	D317	03 Oct 2022	D317\n19:30 - Docklands to M3 Parkway (0 mins late)\nArrived Broombridge next stop Pelletstown	Northbound
R	53.3725	-6.29869	P771	03 Oct 2022	P771\n19:15 - M3 Parkway to Dublin Connolly (1 mins late)\nDeparted Broombridge next stop Dublin Connolly	Southbound
R	53.373	-6.20442	E255	03 Oct 2022	E255\n19:20 - Howth to Bray (2 mins late)\nArrived Killester next stop Clontarf Road	Southbound
R	53.373	-6.20442	E939	03 Oct 2022	E939\n18:35 - Bray to Howth (8 mins late)\nDeparted Killester next stop Harmonstown	Northbound
R	53.3743	-6.48624	D932	03 Oct 2022	D932\n19:00 - Dublin Pearse to Maynooth (0 mins late)\nArrived Leixlip (Confey) next stop Leixlip (Louisa Bridge)	Northbound
R	53.3776	-6.39072	A914	03 Oct 2022	A914\n19:17 - Dublin Connolly to Sligo (3 mins late)\nDeparted Coolmine next stop Maynooth	Northbound
R	53.3776	-6.39072	P759	03 Oct 2022	P759\n19:18 - Maynooth to Dublin Connolly (2 mins late)\nDeparted Coolmine next stop Castleknock	Southbound
R	53.3815	-6.17699	P623	03 Oct 2022	P623\n18:50 - Drogheda to Dublin Pearse (3 mins late)\nArrived Raheny next stop Dublin Connolly	Southbound
R	53.4032	-6.14839	E128	03 Oct 2022	E128\n19:30 - Malahide to Greystones (3 mins late)\nArrived Clongriffin next stop Howth Junction	Southbound
R	53.4273	-7.93683	A808	03 Oct 2022	A808\n18:15 - Dublin Heuston to Westport (4 mins late)\nDeparted Athlone next stop Roscommon	To Westport
R	53.4933	-7.15576	A913	03 Oct 2022	A913\n16:55 - Sligo to Dublin Connolly (0 mins late)\nDeparted Killucan next stop Enfield	Southbound
R	53.523	-7.34608	D928	03 Oct 2022	D928\n18:16 - Dublin Connolly to Longford (0 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.6794	-6.24253	D822	03 Oct 2022	D822\n18:50 - Dublin Connolly to Drogheda (2 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	53.712	-6.33538	A134	03 Oct 2022	A134\n19:00 - Dublin Connolly to Belfast (4 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.9676	-8.30438	A912	03 Oct 2022	A912\n17:10 - Dublin Connolly to Sligo (0 mins late)\nArrived Boyle next stop Ballymote	Northbound
R	54.0007	-6.41291	A133	03 Oct 2022	A133\n18:05 - Belfast to Dublin Connolly (1 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A915	03 Oct 2022	A915\n19:05 - Sligo to Dublin Connolly (5 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.0371	-7.30086	D215	03 Oct 2022	D215\n18:25 - Dublin Heuston to Portlaoise(-1 mins late)\nTERMINATED Portlaoise at 19:38	To Portlaoise
T	53.2043	-6.10046	E251	03 Oct 2022	E251\n18:20 - Howth to Bray(1 mins late)\nTERMINATED Bray at 19:36	Southbound
T	53.3433	-6.24829	P675	03 Oct 2022	P675\n18:40 - Maynooth to Dublin Pearse(2 mins late)\nTERMINATED Dublin Pearse at 19:33	Southbound
T	53.3531	-6.24591	P758	03 Oct 2022	P758\n18:58 - Maynooth to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 19:38	Southbound
T	53.4273	-7.93683	A721	03 Oct 2022	A721\n18:10 - Galway to Athlone(-6 mins late)\nTERMINATED Athlone at 19:33	To Athlone
T	53.4349	-6.46898	D316	03 Oct 2022	D316\n19:00 - Docklands to M3 Parkway(-2 mins late)\nTERMINATED M3 Parkway at 19:34	Northbound
T	53.4509	-6.15649	E838	03 Oct 2022	E838\n18:25 - Bray to Malahide(-1 mins late)\nTERMINATED Malahide at 19:38	Northbound
T	53.7243	-7.79574	D925	03 Oct 2022	D925\n17:17 - Dublin Connolly to Longford(-2 mins late)\nTERMINATED Longford at 19:37	Northbound
T	54.0007	-6.41291	D820	03 Oct 2022	D820\n18:00 - Dublin Pearse to Dundalk(6 mins late)\nTERMINATED Dundalk at 19:38	Northbound
